frame,x,y
0.0,84.0,93.0
1.0,81.0,74.0
2.0,77.0,56.0
3.0,74.0,41.0
4.0,72.0,35.0
11.0,65.0,35.0
12.0,65.0,44.0
13.0,66.0,61.0
14.0,68.0,81.0
15.0,70.0,102.0
16.0,72.0,127.0
17.0,74.0,152.0
18.0,77.0,179.0
19.0,80.0,207.0
20.0,82.0,235.0
21.0,84.0,263.0
22.0,86.0,291.0
23.0,87.0,317.0
24.0,88.0,342.0
25.0,89.0,365.0
26.0,89.0,386.0
27.0,90.0,404.0
28.0,91.0,420.0
29.0,90.0,430.0
30.0,91.0,438.0
31.0,91.0,443.0
33.0,92.0,443.0
34.0,93.0,439.0
35.0,94.0,431.0
36.0,95.0,420.0
37.0,97.0,408.0
38.0,98.0,391.0
39.0,98.0,371.0
40.0,100.0,349.0
41.0,102.0,327.0
42.0,101.0,302.0
43.0,101.0,277.0
44.0,101.0,251.0
45.0,100.0,224.0
46.0,98.0,197.0
47.0,97.0,172.0
48.0,95.0,146.0
49.0,92.0,122.0
50.0,89.0,100.0
51.0,86.0,80.0
52.0,83.0,62.0
53.0,80.0,46.0
54.0,77.0,35.0
62.0,71.0,35.0
63.0,72.0,48.0
64.0,74.0,66.0
65.0,77.0,86.0
66.0,80.0,109.0
67.0,83.0,133.0
68.0,85.0,159.0
69.0,87.0,186.0
70.0,90.0,214.0
71.0,91.0,242.0
72.0,92.0,269.0
73.0,93.0,297.0
74.0,93.0,323.0
75.0,93.0,347.0
76.0,93.0,369.0
77.0,93.0,389.0
78.0,93.0,406.0
79.0,93.0,418.0
80.0,92.0,428.0
81.0,93.0,435.0
82.0,94.0,439.0
83.0,94.0,440.0
84.0,94.0,437.0
85.0,96.0,431.0
86.0,97.0,422.0
87.0,98.0,410.0
88.0,100.0,397.0
89.0,101.0,379.0
90.0,101.0,359.0
91.0,102.0,337.0
92.0,102.0,315.0
93.0,101.0,289.0
94.0,101.0,265.0
95.0,100.0,238.0
96.0,98.0,212.0
97.0,96.0,185.0
98.0,94.0,161.0
99.0,91.0,138.0
100.0,88.0,114.0
101.0,84.0,92.0
102.0,80.0,73.0
103.0,78.0,56.0
104.0,75.0,41.0
105.0,72.0,35.0
112.0,71.0,35.0
113.0,72.0,42.0
114.0,75.0,59.0
115.0,77.0,77.0
116.0,79.0,98.0
117.0,82.0,121.0
118.0,84.0,147.0
119.0,86.0,173.0
120.0,88.0,199.0
121.0,90.0,227.0
122.0,90.0,254.0
123.0,92.0,282.0
124.0,92.0,308.0
125.0,92.0,334.0
126.0,91.0,357.0
127.0,92.0,378.0
128.0,93.0,397.0
129.0,93.0,412.0
130.0,95.0,422.0
131.0,95.0,430.0
132.0,96.0,436.0
133.0,98.0,439.0
134.0,99.0,437.0
135.0,101.0,433.0
136.0,102.0,426.0
137.0,103.0,416.0
138.0,105.0,405.0
139.0,105.0,389.0
140.0,106.0,370.0
141.0,107.0,350.0
142.0,106.0,327.0
143.0,105.0,305.0
144.0,104.0,280.0
145.0,102.0,254.0
146.0,101.0,228.0
147.0,99.0,201.0
148.0,96.0,176.0
149.0,93.0,151.0
150.0,90.0,128.0
151.0,87.0,106.0
152.0,84.0,85.0
153.0,82.0,67.0
154.0,80.0,50.0
155.0,78.0,37.0
163.0,74.0,36.0
164.0,75.0,50.0
165.0,77.0,67.0
166.0,79.0,87.0
167.0,81.0,109.0
168.0,83.0,132.0
169.0,84.0,158.0
170.0,85.0,184.0
171.0,87.0,211.0
172.0,89.0,239.0
173.0,91.0,266.0
174.0,92.0,293.0
175.0,92.0,318.0
176.0,94.0,342.0
177.0,96.0,364.0
178.0,97.0,383.0
179.0,99.0,401.0
180.0,100.0,412.0
181.0,101.0,422.0
182.0,102.0,430.0
183.0,103.0,434.0
184.0,103.0,435.0
185.0,104.0,433.0
186.0,106.0,427.0
187.0,107.0,419.0
188.0,108.0,407.0
189.0,108.0,396.0
190.0,108.0,378.0
191.0,108.0,359.0
192.0,108.0,338.0
193.0,107.0,315.0
194.0,106.0,292.0
195.0,105.0,266.0
196.0,103.0,243.0
197.0,101.0,217.0
198.0,99.0,189.0
199.0,97.0,166.0
200.0,95.0,142.0
201.0,93.0,119.0
202.0,91.0,98.0
203.0,88.0,79.0
204.0,86.0,61.0
205.0,84.0,46.0
206.0,82.0,35.0
213.0,76.0,35.0
214.0,77.0,47.0
215.0,78.0,61.0
216.0,79.0,79.0
217.0,80.0,99.0
218.0,82.0,121.0
219.0,84.0,145.0
220.0,87.0,172.0
221.0,89.0,198.0
222.0,92.0,225.0
223.0,94.0,251.0
224.0,95.0,277.0
225.0,97.0,303.0
226.0,98.0,326.0
227.0,100.0,350.0
228.0,101.0,370.0
229.0,102.0,388.0
230.0,104.0,405.0
231.0,104.0,414.0
232.0,105.0,423.0
233.0,105.0,429.0
234.0,106.0,432.0
235.0,105.0,431.0
236.0,106.0,427.0
237.0,107.0,420.0
238.0,106.0,411.0
239.0,106.0,401.0
240.0,106.0,386.0
241.0,106.0,368.0
242.0,107.0,348.0
243.0,108.0,326.0
244.0,108.0,303.0
245.0,107.0,279.0
246.0,106.0,254.0
247.0,105.0,229.0
248.0,104.0,203.0
249.0,103.0,178.0
250.0,101.0,154.0
251.0,99.0,132.0
252.0,97.0,110.0
253.0,94.0,90.0
254.0,91.0,72.0
255.0,88.0,55.0
256.0,86.0,42.0
257.0,83.0,35.0
264.0,75.0,36.0
265.0,77.0,51.0
266.0,79.0,67.0
267.0,82.0,86.0
268.0,84.0,106.0
269.0,87.0,129.0
270.0,90.0,155.0
271.0,92.0,179.0
272.0,95.0,206.0
273.0,97.0,232.0
274.0,100.0,259.0
275.0,101.0,285.0
276.0,103.0,311.0
277.0,104.0,334.0
278.0,103.0,355.0
279.0,104.0,375.0
280.0,105.0,392.0
281.0,105.0,404.0
282.0,105.0,415.0
283.0,104.0,422.0
284.0,104.0,427.0
285.0,104.0,428.0
286.0,104.0,426.0
287.0,106.0,421.0
288.0,107.0,413.0
289.0,108.0,402.0
290.0,109.0,391.0
291.0,110.0,375.0
292.0,111.0,356.0
293.0,111.0,335.0
294.0,112.0,313.0
295.0,112.0,290.0
296.0,111.0,266.0
297.0,110.0,242.0
298.0,109.0,217.0
299.0,106.0,192.0
300.0,103.0,168.0
301.0,101.0,146.0
302.0,98.0,124.0
303.0,94.0,103.0
304.0,91.0,85.0
305.0,87.0,67.0
306.0,84.0,52.0
307.0,81.0,40.0
308.0,79.0,35.0
314.0,75.0,36.0
315.0,77.0,49.0
316.0,78.0,63.0
317.0,80.0,80.0
318.0,83.0,100.0
319.0,86.0,121.0
320.0,88.0,145.0
321.0,90.0,170.0
322.0,92.0,195.0
323.0,94.0,221.0
324.0,96.0,247.0
325.0,97.0,273.0
326.0,99.0,299.0
327.0,99.0,323.0
328.0,99.0,345.0
329.0,99.0,366.0
330.0,99.0,384.0
331.0,100.0,400.0
332.0,100.0,410.0
333.0,100.0,419.0
334.0,100.0,425.0
335.0,101.0,428.0
336.0,103.0,428.0
337.0,105.0,424.0
338.0,105.0,418.0
339.0,107.0,409.0
340.0,108.0,397.0
341.0,109.0,384.0
342.0,109.0,366.0
343.0,110.0,347.0
344.0,111.0,326.0
345.0,110.0,303.0
346.0,109.0,279.0
347.0,107.0,255.0
348.0,105.0,231.0
349.0,103.0,206.0
350.0,102.0,183.0
351.0,99.0,159.0
352.0,95.0,136.0
353.0,91.0,115.0
354.0,88.0,95.0
355.0,85.0,77.0
356.0,83.0,61.0
357.0,80.0,48.0
358.0,77.0,35.0
364.0,75.0,35.0
365.0,76.0,40.0
366.0,78.0,55.0
367.0,79.0,69.0
368.0,82.0,88.0
369.0,84.0,108.0
370.0,86.0,131.0
371.0,88.0,155.0
372.0,89.0,179.0
373.0,91.0,205.0
374.0,92.0,231.0
375.0,93.0,257.0
376.0,95.0,283.0
377.0,95.0,307.0
378.0,95.0,330.0
379.0,96.0,352.0
380.0,96.0,372.0
381.0,95.0,389.0
382.0,96.0,404.0
383.0,97.0,412.0
384.0,98.0,420.0
385.0,99.0,425.0
386.0,99.0,426.0
387.0,100.0,425.0
388.0,103.0,420.0
389.0,104.0,412.0
390.0,105.0,402.0
391.0,105.0,391.0
392.0,105.0,375.0
393.0,106.0,357.0
394.0,106.0,337.0
395.0,105.0,316.0
396.0,103.0,293.0
397.0,101.0,269.0
398.0,100.0,245.0
399.0,98.0,221.0
400.0,95.0,196.0
401.0,92.0,173.0
402.0,89.0,150.0
403.0,86.0,127.0
404.0,83.0,107.0
405.0,80.0,89.0
406.0,77.0,72.0
407.0,75.0,57.0
408.0,73.0,44.0
409.0,71.0,35.0
414.0,70.0,35.0
415.0,71.0,38.0
416.0,72.0,49.0
417.0,73.0,63.0
418.0,75.0,80.0
419.0,77.0,99.0
420.0,79.0,120.0
421.0,81.0,143.0
422.0,83.0,169.0
423.0,83.0,192.0
424.0,85.0,218.0
425.0,87.0,244.0
426.0,88.0,269.0
427.0,90.0,294.0
428.0,92.0,318.0
429.0,93.0,339.0
430.0,95.0,359.0
431.0,96.0,377.0
432.0,96.0,393.0
433.0,97.0,402.0
434.0,99.0,412.0
435.0,100.0,418.0
436.0,101.0,422.0
437.0,102.0,422.0
438.0,102.0,419.0
439.0,103.0,412.0
440.0,104.0,404.0
441.0,105.0,392.0
442.0,105.0,381.0
443.0,105.0,364.0
444.0,104.0,345.0
445.0,103.0,325.0
446.0,101.0,302.0
447.0,101.0,280.0
448.0,99.0,255.0
449.0,96.0,231.0
450.0,94.0,207.0
451.0,92.0,183.0
452.0,90.0,160.0
453.0,88.0,138.0
454.0,86.0,117.0
455.0,83.0,98.0
456.0,81.0,80.0
457.0,80.0,65.0
458.0,78.0,51.0
459.0,75.0,39.0
460.0,75.0,35.0
465.0,71.0,35.0
466.0,72.0,45.0
467.0,72.0,57.0
468.0,73.0,72.0
469.0,74.0,90.0
470.0,75.0,110.0
471.0,77.0,131.0
472.0,80.0,155.0
473.0,82.0,180.0
474.0,84.0,205.0
475.0,86.0,229.0
476.0,89.0,255.0
477.0,91.0,279.0
478.0,93.0,304.0
479.0,94.0,326.0
480.0,96.0,347.0
481.0,98.0,366.0
482.0,99.0,383.0
483.0,101.0,394.0
484.0,102.0,404.0
485.0,103.0,412.0
486.0,103.0,417.0
487.0,103.0,419.0
488.0,104.0,418.0
489.0,104.0,413.0
490.0,104.0,406.0
491.0,105.0,396.0
492.0,104.0,386.0
493.0,103.0,370.0
494.0,104.0,352.0
495.0,104.0,332.0
496.0,103.0,311.0
497.0,103.0,288.0
498.0,102.0,265.0
499.0,101.0,242.0
500.0,100.0,218.0
501.0,99.0,193.0
502.0,97.0,169.0
503.0,95.0,147.0
504.0,94.0,126.0
505.0,92.0,106.0
506.0,88.0,86.0
507.0,85.0,70.0
508.0,80.0,54.0
509.0,76.0,41.0
510.0,74.0,35.0
